Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
10 MAR 2020,175,179.9,173,179.9,13,1670,292102.4
6 MAR 2020,186.9,186.9,175,175,6,150,26263.6
5 MAR 2020,180,180,180,180,2,6,1080
4 MAR 2020,181.1,181.1,180,180,13,4000,720196
3 MAR 2020,187.8,187.8,186.9,186.9,8,3052,570500.6
2 MAR 2020,187,187,186.5,184.2,2,2,373.5
27 FEB 2020,187.7,187.7,187.7,184.2,6,51,9572.7
26 FEB 2020,186,188,184,184.2,13,730,135477
25 FEB 2020,189,189,187,187.1,16,580,109034.8
24 FEB 2020,189.7,189.7,189,190,6,75,14203
20 FEB 2020,191,191,190,190,8,1701,323891
19 FEB 2020,190,191,188,190,16,2135,404713.5
18 FEB 2020,190.3,191.4,190,190,21,827,157746.7
17 FEB 2020,191.2,191.4,188.5,190.9,28,1935,369516.1
14 FEB 2020,191.3,191.3,188.1,189.9,52,5403,1027909.4
13 FEB 2020,193,194,189,191.4,40,12893,2488374.9
12 FEB 2020,187,192.5,186,192.2,10,11471,2204635
10 FEB 2020,196,196.4,192,192,4,2011,386160
7 FEB 2020,196.6,196.6,190,192,4,8,1536.6
6 FEB 2020,185,197,185,192,35,3201,596020
5 FEB 2020,185,185,185,185,19,2500,462500
3 FEB 2020,185,185,182,184.9,7,513,94875
31 JAN 2020,184,185,184,185,6,1817,336030
30 JAN 2020,187,187.5,183.7,184,11,2876,529792.5
29 JAN 2020,187.5,187.5,180.6,184.1,7,114,20993
28 JAN 2020,183,185,183,184.9,6,184,33976.2
27 JAN 2020,185,187.5,184.5,185,11,4480,829296
24 JAN 2020,187.9,187.9,184,184.8,9,1874,346329.9
23 JAN 2020,187.9,187.9,187.9,183.2,1,1,187.9
22 JAN 2020,187,187.9,187,183.2,5,31,5806.9
21 JAN 2020,186.5,187,183,183.2,5,510,93457
20 JAN 2020,187,187,187,183.1,1,1,187
17 JAN 2020,183,187,183,183.1,3,103,18861
16 JAN 2020,183.5,185,183.5,188,2,25,4610
14 JAN 2020,188.9,188.9,183.2,188,7,82,15220.8
13 JAN 2020,185,188,185,188,4,202,37670
9 JAN 2020,190,190,188.9,184.1,2,2,378.9
8 JAN 2020,186.2,186.2,184,184.1,16,219,40363.5
7 JAN 2020,188,188,188,188,2,262,49256
6 JAN 2020,190,190,187,188,4,801,150393
3 JAN 2020,190,190,189.4,189.9,8,11737,2228913.9
31 DEC 2019,190,190,189,190,5,3915,740449.9
30 DEC 2019,188,188,187,187,2,156,29181
27 DEC 2019,187,190,187,190,11,2048,388755.8
26 DEC 2019,189.7,189.7,188,186,4,6,1129.7
24 DEC 2019,183,183,183,186,1,1,183
23 DEC 2019,189,189.5,189,186,2,2,378.5
20 DEC 2019,182.1,182.1,182.1,186,1,1,182.1
18 DEC 2019,182,182,182,186,2,20,3640
17 DEC 2019,186,186,186,186,1,1240,230640
16 DEC 2019,186.1,186.1,184,186,4,480,88882
13 DEC 2019,186.5,186.7,186,186.4,12,2655,494833.5
12 DEC 2019,186,186,186,186,2,1000,186000
10 DEC 2019,183,183,182.9,183,11,1288,235692.5
6 DEC 2019,186,186,186,186.1,2,19,3534
5 DEC 2019,187,187,186,186.1,15,10546,1962602
4 DEC 2019,190,190,190,190,3,1501,285190
3 DEC 2019,190,190,189,189,5,14630,2772307.5
2 DEC 2019,192.5,192.5,192.5,190,2,31,5967.5
29 NOV 2019,192.5,192.5,190,190,4,1001,190192.5
