"Date","Price","Open","High","Low","Change %"
"04/12/2016","12.367","12.367","12.367","12.367","-0.11%"
"04/11/2016","12.380","12.380","12.380","12.380","0.14%"
"04/08/2016","12.363","12.363","12.363","12.363","0.59%"
"04/07/2016","12.290","12.290","12.290","12.290","-2.61%"
"04/06/2016","12.620","12.620","12.620","12.620","1.37%"
"04/05/2016","12.450","12.450","12.450","12.450","-2.64%"
"04/04/2016","12.788","12.788","12.788","12.788","-4.57%"
"04/01/2016","13.400","13.400","13.400","13.400","1.44%"
"03/31/2016","13.210","13.210","13.210","13.210","-2.33%"
"03/30/2016","13.525","13.525","13.525","13.525","5.52%"
"03/29/2016","12.817","12.817","12.817","12.817","-2.09%"
"03/28/2016","13.090","13.090","13.090","13.090","3.40%"
"03/24/2016","12.660","12.660","12.660","12.660","0.57%"
"03/23/2016","12.588","12.588","12.588","12.588","1.52%"
"03/21/2016","12.400","12.400","12.400","12.400","0.20%"
"03/18/2016","12.375","12.375","12.375","12.375","0.41%"
"03/17/2016","12.325","12.325","12.325","12.325","0.42%"
"03/16/2016","12.273","12.273","12.273","12.273","-0.32%"
"03/15/2016","12.313","12.313","12.313","12.313","0.11%"
"03/14/2016","12.300","12.300","12.300","12.300","0.16%"
"03/11/2016","12.280","12.280","12.280","12.280","0.24%"
"03/10/2016","12.250","12.250","12.250","12.250","0.00%"
"03/09/2016","12.250","12.250","12.250","12.250","0.51%"
"03/08/2016","12.188","12.188","12.188","12.188","-0.02%"
"03/04/2016","12.190","12.190","12.190","12.190","-0.08%"
"03/03/2016","12.200","12.200","12.200","12.200","1.35%"
"03/02/2016","12.038","12.038","12.038","12.038","-0.86%"
"03/01/2016","12.142","12.142","12.142","12.142","0.35%"
"02/29/2016","12.100","12.100","12.100","12.100","1.42%"
"02/26/2016","11.930","11.930","11.930","11.930","0.68%"
"02/25/2016","11.850","11.850","11.850","11.850","1.28%"
"02/24/2016","11.700","11.700","11.700","11.700","-0.34%"
"02/23/2016","11.740","11.740","11.740","11.740","3.66%"
"02/19/2016","11.325","11.325","11.325","11.325","-0.16%"
"02/18/2016","11.343","11.343","11.343","11.343","1.10%"
"02/17/2016","11.220","11.220","11.220","11.220","0.09%"
"02/16/2016","11.210","11.210","11.210","11.210","0.87%"
"02/15/2016","11.113","11.113","11.113","11.113","0.23%"
"02/12/2016","11.088","11.088","11.088","11.088","0.07%"
"02/11/2016","11.080","11.080","11.080","11.080","-0.36%"
"02/10/2016","11.120","11.120","11.120","11.120","-0.09%"
"02/09/2016","11.130","11.130","11.130","11.130","-0.13%"
"02/08/2016","11.144","11.144","11.144","11.144","0.17%"
"02/05/2016","11.125","11.125","11.125","11.125","-0.31%"
"02/03/2016","11.160","11.160","11.160","11.160","0.20%"
"02/02/2016","11.138","11.138","11.138","11.138","0.16%"
"02/01/2016","11.120","11.120","11.120","11.120","0.93%"
"01/29/2016","11.017","11.017","11.017","11.017","-0.75%"
"01/28/2016","11.100","11.100","11.100","11.100","3.98%"
"01/27/2016","10.675","10.675","10.675","10.675","-0.70%"
"01/26/2016","10.750","10.750","10.750","10.750","0.31%"
"01/25/2016","10.717","10.717","10.717","10.717","0.84%"
"01/22/2016","10.628","10.628","10.628","10.628","-0.67%"
"01/21/2016","10.700","10.700","10.700","10.700","2.08%"
"01/20/2016","10.482","10.482","10.482","10.482","-0.17%"
"01/19/2016","10.500","10.500","10.500","10.500","-1.71%"
"01/18/2016","10.683","10.683","10.683","10.683","-1.63%"
"01/14/2016","10.860","10.860","10.860","10.860","1.48%"
"01/13/2016","10.702","10.702","10.702","10.702","-0.95%"
"01/12/2016","10.805","10.805","10.805","10.805","-0.34%"
"01/11/2016","10.842","10.842","10.842","10.842","-1.06%"
"01/08/2016","10.958","10.958","10.958","10.958","0.72%"
"01/07/2016","10.880","10.880","10.880","10.880","-0.71%"
"01/06/2016","10.958","10.958","10.958","10.958","0.26%"
"01/05/2016","10.930","10.930","10.930","10.930","-1.01%"
"01/04/2016","11.042","11.042","11.042","11.042","-0.14%"
"01/01/2016","11.058","11.058","11.058","11.058","-0.32%"
"12/31/2015","11.093","11.093","11.093","11.093","0.77%"
"12/30/2015","11.008","11.008","11.008","11.008","1.93%"
"12/29/2015","10.800","10.800","10.800","10.800","0.33%"
"12/28/2015","10.764","10.764","10.764","10.764","0.33%"
"12/23/2015","10.729","10.729","10.729","10.729","0.04%"
"12/22/2015","10.725","10.725","10.725","10.725","0.23%"
"12/21/2015","10.700","10.700","10.700","10.700","1.02%"
"12/18/2015","10.592","10.592","10.592","10.592","0.80%"
"12/17/2015","10.508","10.508","10.508","10.508","0.65%"
"12/16/2015","10.440","10.440","10.440","10.440","4.18%"
"12/15/2015","10.021","10.021","10.021","10.021","1.40%"
"12/14/2015","9.883","9.883","9.883","9.883","3.13%"
"12/11/2015","9.583","9.583","9.583","9.583","1.17%"
"12/10/2015","9.472","9.472","9.472","9.472","0.10%"
"12/09/2015","9.463","9.463","9.463","9.463","-0.31%"
"12/08/2015","9.492","9.492","9.492","9.492","0.14%"
"12/07/2015","9.479","9.479","9.479","9.479","0.52%"
"12/04/2015","9.430","9.430","9.430","9.430","-0.03%"
"12/03/2015","9.433","9.433","9.433","9.433","-0.33%"
"12/02/2015","9.464","9.464","9.464","9.464","-0.48%"
"12/01/2015","9.510","9.510","9.510","9.510","-2.26%"
"11/30/2015","9.730","9.730","9.730","9.730","0.38%"
"11/27/2015","9.693","9.693","9.693","9.693","1.27%"
"11/26/2015","9.571","9.571","9.571","9.571","0.66%"
"11/24/2015","9.508","9.508","9.508","9.508","-0.24%"
