Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
19 FEB 2016,165,165,160.1,162.9,7,9610,1565656
18 FEB 2016,164,164,163.6,164,7,2397,393098.4
17 FEB 2016,165,165,163.6,164.1,4,214,35108.6
16 FEB 2016,169,169,169,166,1,1,169
15 FEB 2016,165,166,165,166,12,209374,34755949
11 FEB 2016,166,166,163,165.9,23,8601,1422576
10 FEB 2016,166,166,165,166,5,826,137115
9 FEB 2016,166,171,166,169.3,2,900,152400
8 FEB 2016,167,167,166.1,166.6,3,1700,283270
2 FEB 2016,170,172,170,171.6,4,1171,200932
1 FEB 2016,166.1,166.1,166.1,166.1,2,100,16610
29 JAN 2016,166.1,166.1,166.1,165.1,2,3,498.3
27 JAN 2016,165.1,165.1,165,165.1,4,225,37139.4
25 JAN 2016,165.1,165.1,165.1,165,1,1,165.1
22 JAN 2016,165,165.1,165,165,5,3501,577765
21 JAN 2016,169.9,169.9,165,165.1,9,117201,19350669.9
20 JAN 2016,160.1,160.1,159.3,160,24,13531,2165155.3
19 JAN 2016,160.1,160.1,158,160,8,3900,623900
18 JAN 2016,170.2,170.2,170,170,6,2510,426880
14 JAN 2016,175,175,175,175,1,200,35000
13 JAN 2016,175,176,175,175.8,3,1700,298500
12 JAN 2016,171.8,175,170,171.8,26,545922,93783677.6
11 JAN 2016,182,182,170.1,170.4,16,404,68955.3
8 JAN 2016,185,185,183,183,4,1500,275500
5 JAN 2016,189.5,189.5,189,189,12,2809,530903.5
31 DEC 2015,189,189,189,189,1,100,18900
30 DEC 2015,189,189,189,189,2,6188,1169532
23 DEC 2015,189.5,189.5,189.5,185,1,35,6632.5
22 DEC 2015,184,185,184,185,7,5706,1055604.5
21 DEC 2015,181,184.5,180.3,180.7,15,11657,2106420.5
18 DEC 2015,180.3,180.3,180.3,180.1,1,2,360.6
17 DEC 2015,180,182,180,180.1,14,9630,1745479
16 DEC 2015,183,183,182,182.1,5,4500,819860
15 DEC 2015,182.4,182.4,182.4,182.4,1,60,10944
11 DEC 2015,184,184.1,181,182.4,13,1356,249011.8
10 DEC 2015,185,185,184.1,185,6,80,14795.5
9 DEC 2015,189,189,189,185,1,1,189
7 DEC 2015,189,189.6,185,185,10,1553,293239.5
4 DEC 2015,189,189,189,189.6,1,1,189
3 DEC 2015,189,189.9,188,189.6,17,103058,19547263
2 DEC 2015,189.7,190,185,185,41,23059,4375407.9
1 DEC 2015,184.4,188,184,188,7,4200,774043.1
30 NOV 2015,180.1,185,180,184.4,9,3344,610970.4
26 NOV 2015,190,190,185.1,185.9,13,4876,921150
24 NOV 2015,190.2,193.5,190.2,191,83,156570,29965724.1
23 NOV 2015,176.5,190,176.5,190,87,147459,27958975
20 NOV 2015,174,174,174,175,1,2,348
19 NOV 2015,174,175,174,175,4,19250,3368700
18 NOV 2015,175.9,176.5,174,174,7,991,173033.3
17 NOV 2015,174,174.1,174,174.1,2,5650,983650
16 NOV 2015,170.1,170.1,170.1,174,1,10,1701
13 NOV 2015,174,174,174,174,1,750,130500
11 NOV 2015,175,175,175,175,1,1000,175000
9 NOV 2015,177,177,175,175,6,2581,453875
6 NOV 2015,176.5,177,175,177,4,6012,1064025
3 NOV 2015,175.5,175.5,175.5,175.5,2,2900,508950
2 NOV 2015,179.5,179.8,179.5,179.7,4,1400,251570
28 OCT 2015,179.8,180,179.8,179.8,3,2401,431700
26 OCT 2015,179,180,175,179.8,14,5539,995835
23 OCT 2015,179.9,179.9,179.9,179.8,1,50,8995
22 OCT 2015,174.5,180,170.1,179.8,11,11200,1992412.1
21 OCT 2015,164.3,164.3,164,164.1,6,800,131303.2
19 OCT 2015,175,175,162.2,162.2,2,3800,659880
16 OCT 2015,175,178,175,175,6,1241,217178
15 OCT 2015,179.9,179.9,178,178,9,3580,637284.9
14 OCT 2015,179,180,179,179,10,1642,294201
13 OCT 2015,178.9,181,178,180,14,8912,1603907.9
12 OCT 2015,179,179.9,178.9,178.9,7,300968,53874872
9 OCT 2015,178,178,178,178,2,1171,208438
8 OCT 2015,176,178,176,177.9,2,1350,240200
7 OCT 2015,175,178,175,175,7,451340,78986000
6 OCT 2015,175,175.3,173,173,6,1840,320324.5
5 OCT 2015,179.9,179.9,179.9,171.7,1,1,179.9
1 OCT 2015,170,172,170,171.7,10,13004,2223480
30 SEP 2015,169,170,168,170,15,6041,1024409
29 SEP 2015,169,169,168,169,2,117,19768
28 SEP 2015,169,169,166.5,168.3,5,6400,1076824
25 SEP 2015,168.9,169,168.9,169,8,10001,1690134
23 SEP 2015,167,167,167,167,2,15364,2565788
22 SEP 2015,168.9,170,168.9,169,5,7094,1199390
21 SEP 2015,168,168,167.9,168,14,65397,10985694
18 SEP 2015,168,168,167,168,10,7015,1178500
17 SEP 2015,168,168,168,168,4,10309,1731912
16 SEP 2015,168,168,167.4,168,3,30310,5091960
15 SEP 2015,168,168,168,168,2,10100,1696800
14 SEP 2015,167.4,168,167.4,168,2,2000,335400
11 SEP 2015,168,168,166,167.4,5,4300,719960
9 SEP 2015,155.3,171,155.3,168,3,12,2036.3
8 SEP 2015,168,169,168,168,7,401,67371
7 SEP 2015,170,170,168,170,7,46626,7926414.1
4 SEP 2015,172,172,170,170.1,17,14382,2455290
2 SEP 2015,172,179.8,171.5,172.2,9,2590,445926.7
1 SEP 2015,175,177.4,175,171.7,3,54,9452.4
31 AUG 2015,170.2,180,170.2,171.7,5,488,83765.2
28 AUG 2015,174,180,170.2,172.2,20,47587,8193755.2
27 AUG 2015,174,174,172,172,13,11386,1958484
26 AUG 2015,176.5,180,170,175,15,25601,4422327
25 AUG 2015,177,177,170,173,16,2130,371987.5
24 AUG 2015,182,182,176,176.1,18,4543,800147.6
21 AUG 2015,182,182.3,180,182,19,264769,48032845.6
20 AUG 2015,187.5,187.5,180.2,181.1,30,31234,5661372.9
19 AUG 2015,178.9,188,178.9,184.4,75,61881,11371217.6
18 AUG 2015,161.1,177,161.1,175.2,73,95780,16658780.9
17 AUG 2015,163.5,165,161.2,164.1,9,1325,217464.5
14 AUG 2015,160.1,163.4,160.1,160.2,2,314,50317.6
13 AUG 2015,165.2,165.2,160.3,160.3,7,2512,407722
12 AUG 2015,163,166.4,163,165.2,27,14397,2374730.4
11 AUG 2015,158.1,163,158.1,161.1,41,8097,1298802
10 AUG 2015,156,159.1,155,158.1,9,3650,567716.4
7 AUG 2015,155,156.9,155,156.2,9,3022,471737
6 AUG 2015,158,158,155,155,9,2701,419255
5 AUG 2015,152.4,157,152.4,156.6,34,6268,972418.8
4 AUG 2015,150,150.2,150,150,7,1310,196502
3 AUG 2015,152.8,153,150.4,150.6,5,307,46699.9
30 JUL 2015,150,151,150,150.4,24,1348,202593.7
29 JUL 2015,142,151,141.5,149.7,56,6687,986592.8
28 JUL 2015,140.1,145.6,140.1,144,9,882,127011.7
27 JUL 2015,142.5,142.5,142,142.1,4,302,42909
24 JUL 2015,143.9,145.5,140.1,142.5,32,3320,479703.4
23 JUL 2015,144.4,144.4,143,143,5,200226,28632386
21 JUL 2015,145,145,145,144.8,1,1,145
