Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
23 SEP 2022,54.8,54.8,53.9,54,160,124884,6776542.6
22 SEP 2022,56,56,54.5,54.9,215,840153,46186652.4
21 SEP 2022,55.7,56,55.1,56,136,725514,40613079.5
20 SEP 2022,57,57.2,56,56,154,248608,14065749
19 SEP 2022,57.3,58,56.8,57,172,653542,37463171.5
16 SEP 2022,58,58.4,57.3,57.6,163,760937,43861538
15 SEP 2022,57.7,58.6,57.7,58,322,1633386,94810799.9
14 SEP 2022,58.6,58.9,56.9,57.6,166,454215,26228378.3
13 SEP 2022,59.5,59.7,58,58.6,198,848704,49882490.6
12 SEP 2022,59.5,60.5,58.8,59.3,259,1627310,97043627.2
9 SEP 2022,58,60.8,58,58.8,603,2798989,165751145.1
8 SEP 2022,55.1,57.5,55.1,56.5,321,5351063,301275589.3
7 SEP 2022,55,56.5,54.5,55.8,149,313542,17512528.5
6 SEP 2022,56.5,56.9,54.1,55.5,215,283252,15763744.8
5 SEP 2022,57.1,57.4,56.3,56.9,261,1449328,82656360.6
2 SEP 2022,58,58.5,56.7,57.1,510,2849715,164382507.7
1 SEP 2022,55,58.4,54.4,56.2,773,4418628,249695765.2
31 AUG 2022,50,54.2,49.9,53.8,498,639503,34168812.1
30 AUG 2022,48,48.9,48,48.1,150,608067,29239036
29 AUG 2022,47.5,48,46,46.1,79,64325,2983403.9
26 AUG 2022,48,49.9,45.9,47.5,281,971770,45215868.1
25 AUG 2022,49.2,49.9,47.5,48.2,177,410515,19924067.9
24 AUG 2022,49.9,50,49,49.7,84,136938,6793805
23 AUG 2022,50,51,49.2,50,139,561988,28116193.7
22 AUG 2022,51,52.5,48,48.9,237,955367,47689503.6
19 AUG 2022,52,52.1,50.9,51,212,250001,12782440.3
18 AUG 2022,53.3,54,51.3,52.3,251,951172,49926454.1
17 AUG 2022,54,54.9,51.5,52,213,572764,29842361.5
16 AUG 2022,58,58.5,53,53.8,362,1207033,66901649.6
15 AUG 2022,58,58.9,54.8,55.6,550,4217798,237948555
12 AUG 2022,53.9,55.5,52.1,54.8,621,9719115,517876181
10 AUG 2022,47,51,46.3,49.7,440,5245727,253309929.7
9 AUG 2022,47,48.1,46.5,47,191,966225,45533516.1
8 AUG 2022,44.1,47.5,44.1,46,227,3088712,141223097.4
5 AUG 2022,43,46.5,42.5,44.7,491,6113866,267532034.4
4 AUG 2022,42.4,43,41,41.1,217,8588168,352318326.9
3 AUG 2022,41,42.9,40.9,42.5,107,766461,31597054.6
2 AUG 2022,40.9,41.9,40.7,41,81,5113249,209643264.5
1 AUG 2022,40.9,40.9,40.1,40.3,37,15354,619141.8
29 JUL 2022,40.5,40.5,39.8,40,64,89302,3572115.9
28 JUL 2022,40,40.3,39.9,40,49,130834,5233455.5
27 JUL 2022,40.9,40.9,40,40,53,165333,6616315.8
27 JUL 2022,40.9,40.9,40,40,53,165333,6616315.8
26 JUL 2022,41.1,41.4,39.9,41,63,749877,30704929
25 JUL 2022,41.1,41.1,40,41,60,2539059,104086563.5
22 JUL 2022,40.2,40.2,39.9,40,23,11500,460773.8
21 JUL 2022,41,41,39.7,40.2,41,39150,1581949.7
20 JUL 2022,39.9,41,39.5,39.7,76,5101520,209057031.2
19 JUL 2022,38.1,39.7,38,38.8,50,2918149,118095444.4
18 JUL 2022,38.3,38.4,38,38.2,37,10832,414331.8
15 JUL 2022,37.9,38.4,37.4,37.9,30,10499,395793.9
14 JUL 2022,36,37.5,36,36.9,21,19195,703752.7
12 JUL 2022,37.8,37.9,36.1,36.2,42,108098,3917617.4
11 JUL 2022,35.7,37.8,35.5,35.9,49,42389,1522262.5
8 JUL 2022,37,37,35,35.5,70,49460,1759432
7 JUL 2022,36.7,37.9,36,36,28,7807,281608.9
6 JUL 2022,37,38,36,37.3,44,44918,1673650
5 JUL 2022,38,38.5,37,37.3,37,20726,771209.5
4 JUL 2022,38,38,37,37.5,31,66892,2511154.2
1 JUL 2022,38,38,37,37.8,26,14095,532293.6
30 JUN 2022,38,38,35.1,35.6,111,54203,1942705.1
29 JUN 2022,36.5,38,36.5,37.1,3,533,19752.5
28 JUN 2022,37.1,37.3,36,36.4,105,185182,6828745
27 JUN 2022,38.1,40,37.9,38,89,28585,1087186.6
24 JUN 2022,38.5,40,38.5,39.7,36,92106,3583907.2
23 JUN 2022,40,40,38,38.5,32,53587,2065198.3
22 JUN 2022,40,40,39.5,39.6,18,5604,221948.6
21 JUN 2022,39.4,40,39.4,39.7,11,686,27268.7
20 JUN 2022,39.2,39.5,39,39.3,58,104617,4089137.7
17 JUN 2022,41,41,39.5,39.6,67,43614,1729783.8
16 JUN 2022,42,42,40,40,28,18679,747956.9
15 JUN 2022,41.5,41.5,40,40.7,110,938861,38340013.5
13 JUN 2022,41.3,42,41.3,41.5,14,9273,384981.4
10 JUN 2022,41.6,41.6,40,40.9,51,54464,2223975.7
9 JUN 2022,40.4,41.6,40.4,41.1,12,12820,525932
8 JUN 2022,40.5,41.9,40.5,41.5,33,184875,7658357.4
7 JUN 2022,41.1,41.1,39.5,40,132,2758829,110292055.9
6 JUN 2022,42,43,41.6,42.1,38,123090,5176643
3 JUN 2022,43.7,44,42.1,42.8,68,145464,6267383.2
2 JUN 2022,44,44.1,42.5,43,84,2663064,114551996.4
1 JUN 2022,44,44,43,44,101,655437,28345000.8
31 MAY 2022,45,45,42.5,43.7,175,648019,28410513
30 MAY 2022,41,44.4,41,43.6,232,2294558,96889103.3
27 MAY 2022,42,42,40.7,40.8,32,12610,516188.3
26 MAY 2022,41,41.5,40.1,40.5,39,66764,2705792
25 MAY 2022,40,41.9,40,41.7,38,112856,4709627.4
24 MAY 2022,41.3,41.9,40,40,144,452017,18118343.9
23 MAY 2022,41,42.4,40,41.5,92,290317,11711212.4
20 MAY 2022,40,42,40,40,54,140847,5636290.5
19 MAY 2022,42.1,42.1,40,40,71,567404,22699151.7
18 MAY 2022,43,44,41,41.5,162,764046,31802476.9
17 MAY 2022,42,43.5,41.2,43,117,368361,15649746
13 MAY 2022,39.5,41.5,39.5,40.7,236,639155,25917831.9
12 MAY 2022,37.5,39.4,37.5,38.9,90,96682,3725878.4
9 MAY 2022,37,39,36.5,38.5,66,598931,22503040.5
6 MAY 2022,37.1,37.1,36,37,46,193907,7146057.5
5 MAY 2022,37.9,37.9,37,37,71,1215137,44960719.9
4 MAY 2022,38,38,35.5,36.9,55,90551,3312038.9
29 APR 2022,38,38,37,37.5,120,86427,3266932.2
28 APR 2022,36,38,33.5,36.7,134,1235006,43385651.5
27 APR 2022,30,36,29.5,34,139,342334,11013467
26 APR 2022,33,33,30,30.6,95,389928,12669766.6
25 APR 2022,36.5,36.5,35.5,36.3,38,10374,376677
8 APR 2022,38.1,39.5,37.5,38.1,79,359939,13680524.6
7 APR 2022,38,41.4,38,38.7,124,568173,21621203.6
6 APR 2022,41.3,44,39.5,39.9,174,1090460,43663988.2
5 APR 2022,40.3,41.9,40,41.5,109,1125141,45133694.5
4 APR 2022,38.3,42.1,37,40.3,123,123795,4974619.3
