"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2001","90.150","90.150","90.150","90.150","","0.06%"
"10/10/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/09/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/08/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/05/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/04/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/03/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/02/2001","90.100","90.100","90.100","90.100","","0.00%"
"10/01/2001","90.100","90.100","90.100","90.100","","0.06%"
"09/28/2001","90.050","90.050","90.050","90.050","","0.06%"
"09/27/2001","90.000","90.000","90.000","90.000","","0.00%"
"09/26/2001","90.000","90.000","90.000","90.000","","-0.06%"
"09/25/2001","90.050","90.050","90.050","90.050","","0.00%"
"09/24/2001","90.050","90.050","90.050","90.050","","0.00%"
"09/21/2001","90.050","90.050","90.050","90.050","","0.00%"
"09/20/2001","90.050","90.050","90.050","90.050","","0.00%"
"09/19/2001","90.050","90.050","90.050","90.050","","-0.09%"
"09/18/2001","90.135","90.135","90.135","90.135","","-0.04%"
"09/17/2001","90.170","90.170","90.170","90.170","","0.00%"
"09/14/2001","90.170","90.170","90.170","90.170","","0.09%"
"09/13/2001","90.085","90.085","90.085","90.085","","-0.03%"
"09/12/2001","90.110","90.110","90.110","90.110","","-0.04%"
"09/11/2001","90.150","90.150","90.150","90.150","","0.00%"
"09/10/2001","90.150","90.150","90.150","90.150","","0.00%"
"09/07/2001","90.150","90.150","90.150","90.150","","-0.06%"
"09/06/2001","90.200","90.200","90.200","90.200","","0.00%"
"09/05/2001","90.200","90.200","90.200","90.200","","0.00%"
"09/04/2001","90.200","90.200","90.200","90.200","","-0.08%"
"09/03/2001","90.275","90.275","90.275","90.275","","0.45%"
"08/31/2001","89.875","89.875","89.875","89.875","","0.00%"
"08/30/2001","89.875","89.875","89.875","89.875","","0.00%"
"08/29/2001","89.875","89.875","89.875","89.875","","0.00%"
"08/28/2001","89.875","89.875","89.875","89.875","","0.08%"
"08/27/2001","89.800","89.800","89.800","89.800","","0.00%"
"08/24/2001","89.800","89.800","89.800","89.800","","0.00%"
"08/23/2001","89.800","89.800","89.800","89.800","","0.00%"
"08/22/2001","89.800","89.800","89.800","89.800","","0.06%"
"08/21/2001","89.750","89.750","89.750","89.750","","0.00%"
"08/20/2001","89.750","89.750","89.750","89.750","","-0.08%"
"08/17/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/16/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/15/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/14/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/13/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/10/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/09/2001","89.825","89.825","89.825","89.825","","0.00%"
"08/08/2001","89.825","89.825","89.825","89.825","","-0.06%"
"08/07/2001","89.875","89.875","89.875","89.875","","0.06%"
"08/06/2001","89.825","89.825","89.825","89.825","","0.06%"
"08/03/2001","89.775","89.775","89.775","89.775","","-0.14%"
"08/02/2001","89.900","89.900","89.900","89.900","","0.00%"
"08/01/2001","89.900","89.900","89.900","89.900","","0.00%"
"07/31/2001","89.900","89.900","89.900","89.900","","0.00%"
"07/30/2001","89.900","89.900","89.900","89.900","","0.00%"
"07/27/2001","89.900","89.900","89.900","89.900","","-0.06%"
"07/26/2001","89.950","89.950","89.950","89.950","","-0.17%"
"07/25/2001","90.100","90.100","90.100","90.100","","-0.06%"
"07/24/2001","90.150","90.150","90.150","90.150","","0.00%"
"07/23/2001","90.150","90.150","90.150","90.150","","0.00%"
"07/20/2001","90.150","90.150","90.150","90.150","","0.00%"
"07/19/2001","90.150","90.150","90.150","90.150","","-0.03%"
"07/18/2001","90.175","90.175","90.175","90.175","","0.00%"
"07/17/2001","90.175","90.175","90.175","90.175","","0.00%"
"07/16/2001","90.175","90.175","90.175","90.175","","0.06%"
"07/13/2001","90.125","90.125","90.125","90.125","","0.00%"
"07/12/2001","90.125","90.125","90.125","90.125","","0.06%"
"07/11/2001","90.075","90.075","90.075","90.075","","0.00%"
"07/10/2001","90.075","90.075","90.075","90.075","","0.00%"
"07/09/2001","90.075","90.075","90.075","90.075","","-0.11%"
"07/06/2001","90.175","90.175","90.175","90.175","","-0.44%"
"07/05/2001","90.575","90.575","90.575","90.575","","0.13%"
"07/04/2001","90.460","90.460","90.460","90.460","","-0.13%"
"07/03/2001","90.575","90.575","90.575","90.575","","-0.22%"
"07/02/2001","90.775","90.775","90.775","90.775","","0.17%"
"06/29/2001","90.625","90.625","90.625","90.625","","0.06%"
"06/28/2001","90.575","90.575","90.575","90.575","","0.11%"
"06/27/2001","90.475","90.475","90.475","90.475","","0.00%"
"06/26/2001","90.475","90.475","90.475","90.475","","0.06%"
"06/25/2001","90.425","90.425","90.425","90.425","","0.00%"
"06/22/2001","90.425","90.425","90.425","90.425","","-0.06%"
"06/21/2001","90.475","90.475","90.475","90.475","","0.61%"
"06/20/2001","89.925","89.925","89.925","89.925","","0.00%"
"06/19/2001","89.925","89.925","89.925","89.925","","0.00%"
"06/18/2001","89.925","89.925","89.925","89.925","","0.00%"
"06/15/2001","89.925","89.925","89.925","89.925","","-0.36%"
"06/14/2001","90.250","90.250","90.250","90.250","","0.36%"
"06/13/2001","89.925","89.925","89.925","89.925","","0.00%"
"06/12/2001","89.925","89.925","89.925","89.925","","0.06%"
"06/11/2001","89.875","89.875","89.875","89.875","","0.17%"
"06/08/2001","89.725","89.725","89.725","89.725","","0.00%"
"06/07/2001","89.725","89.725","89.725","89.725","","-0.06%"
"06/06/2001","89.775","89.775","89.775","89.775","","-0.44%"
"06/05/2001","90.175","90.175","90.175","90.175","","-0.11%"
"06/04/2001","90.275","90.275","90.275","90.275","","-0.99%"
"06/01/2001","91.175","91.175","91.175","91.175","","-0.71%"
"05/31/2001","91.825","91.825","91.825","91.825","","0.71%"
"05/30/2001","91.175","91.175","91.175","91.175","","0.00%"
"05/29/2001","91.175","91.175","91.175","91.175","","0.38%"
"05/28/2001","90.830","90.830","90.830","90.830","","0.06%"
"05/25/2001","90.775","90.775","90.775","90.775","","0.11%"
"05/24/2001","90.675","90.675","90.675","90.675","","0.22%"
"05/23/2001","90.475","90.475","90.475","90.475","","0.00%"
"05/22/2001","90.475","90.475","90.475","90.475","","0.00%"
"05/21/2001","90.475","90.475","90.475","90.475","","0.00%"
"05/18/2001","90.475","90.475","90.475","90.475","","0.06%"
"05/17/2001","90.425","90.425","90.425","90.425","","0.17%"
"05/16/2001","90.275","90.275","90.275","90.275","","0.00%"
"05/15/2001","90.275","90.275","90.275","90.275","","0.45%"
"05/14/2001","89.875","89.875","89.875","89.875","","0.11%"
"05/11/2001","89.775","89.775","89.775","89.775","","0.00%"
"05/10/2001","89.775","89.775","89.775","89.775","","-0.06%"
"05/09/2001","89.825","89.825","89.825","89.825","","-0.50%"
"05/08/2001","90.275","90.275","90.275","90.275","","0.00%"
"05/07/2001","90.275","90.275","90.275","90.275","","-0.17%"
"05/04/2001","90.425","90.425","90.425","90.425","","0.08%"
"05/01/2001","90.350","90.350","90.350","90.350","","-0.11%"
"04/30/2001","90.450","90.450","90.450","90.450","","0.78%"
"04/27/2001","89.750","89.750","89.750","89.750","","0.90%"
"04/26/2001","88.950","88.950","88.950","88.950","","0.34%"
"04/25/2001","88.650","88.650","88.650","88.650","","0.00%"
"04/24/2001","88.650","88.650","88.650","88.650","","0.57%"
"04/23/2001","88.150","88.150","88.150","88.150","","0.23%"
"04/20/2001","87.950","87.950","87.950","87.950","","0.34%"
"04/19/2001","87.650","87.650","87.650","87.650","","0.23%"
"04/18/2001","87.450","87.450","87.450","87.450","","0.23%"
"04/17/2001","87.250","87.250","87.250","87.250","","0.11%"
"04/16/2001","87.150","87.150","87.150","87.150","","-0.40%"
"04/13/2001","87.500","87.500","87.500","87.500","","0.00%"
"04/12/2001","87.500","87.500","87.500","87.500","","-0.20%"
"04/11/2001","87.675","87.675","87.675","87.675","","0.14%"
"04/10/2001","87.550","87.550","87.550","87.550","","-0.20%"
"04/09/2001","87.725","87.725","87.725","87.725","","0.09%"
"04/06/2001","87.650","87.650","87.650","87.650","","0.06%"
"04/05/2001","87.600","87.600","87.600","87.600","","-0.28%"
"04/04/2001","87.850","87.850","87.850","87.850","","0.75%"
"04/03/2001","87.200","87.200","87.200","87.200","","0.98%"
"04/02/2001","86.350","86.350","86.350","86.350","","0.00%"
"03/30/2001","86.350","86.350","86.350","86.350","","0.00%"
"03/29/2001","86.350","86.350","86.350","86.350","","0.17%"
"03/28/2001","86.200","86.200","86.200","86.200","","0.35%"
"03/27/2001","85.900","85.900","85.900","85.900","","0.35%"
"03/26/2001","85.600","85.600","85.600","85.600","","0.06%"
"03/23/2001","85.550","85.550","85.550","85.550","","-0.09%"
"03/22/2001","85.625","85.625","85.625","85.625","","0.11%"
"03/21/2001","85.535","85.535","85.535","85.535","","0.05%"
