Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
24 SEP 2024,293.75,304,290.75,304,59,6960,2063106.25
23 SEP 2024,285.75,293,283,292.5,17,1367,391200
20 SEP 2024,290,290,286,286,20,3773,1086460
19 SEP 2024,290,294,285,292,19,1546,447199
18 SEP 2024,284,288,279,280.25,49,8695,2454635.25
13 SEP 2024,280,284.75,279.75,280,19,966,270876.5
12 SEP 2024,284,284,280,280.5,11,116,32574.5
11 SEP 2024,280,284,280,280,6,77,21856
10 SEP 2024,285,285,279.25,280,9,1163,330809
9 SEP 2024,285.25,285.25,279,284.25,7,141,40082.75
6 SEP 2024,280,283,279,280.5,18,7071,1975270
5 SEP 2024,284,284,278.5,280.75,27,826,232399.5
4 SEP 2024,279,284,278.75,284,17,2203,617568.25
3 SEP 2024,275,275,272,274.25,9,241,66079
2 SEP 2024,280,280,270,270.75,53,11151,3033068
30 AUG 2024,276,280,275,280,33,5657,1578953.75
29 AUG 2024,280,280,275.75,280,6,123,34435.75
28 AUG 2024,280.5,281,271,275.75,59,6447,1789896
27 AUG 2024,285,285,280,280,27,7423,2078900.25
26 AUG 2024,286.25,289,283,284.25,45,6459,1847299
23 AUG 2024,292.25,294,285,287.5,39,3067,884381.5
22 AUG 2024,293,296,292.25,292.75,29,5187,1519520.75
21 AUG 2024,293,300,292,293,56,14149,4187589.5
20 AUG 2024,299,299,293,293.75,20,914,268619.25
16 AUG 2024,295,300,290,294.25,36,5016,1467800.25
15 AUG 2024,293,307.75,293,294.5,65,29681,8817868.5
14 AUG 2024,292,292,285.5,286,7,264,75517
13 AUG 2024,293,293,285,285.25,9,75,21668.25
12 AUG 2024,288,293,285,285.25,23,2001,570723
9 AUG 2024,289.5,289.5,288.25,288.25,14,1666,481904
8 AUG 2024,289,297.5,286.5,288.25,12,1281,369298.25
7 AUG 2024,284,289,284,285,14,116,33056.25
6 AUG 2024,285,290,283.5,285.25,33,3046,868383.75
5 AUG 2024,293,293,285.5,285.5,16,1778,507895
2 AUG 2024,294,294,285.5,286,15,1678,481605.25
1 AUG 2024,290,294,285.5,286,38,9958,2848958.75
31 JUL 2024,300,302,293.25,294,24,1201,353790
30 JUL 2024,300,302,298,299,17,505,151220.25
29 JUL 2024,298,305,298,300.25,14,270,81513.5
26 JUL 2024,301,305,298,303,29,1924,582562.5
25 JUL 2024,304.5,304.5,296.5,297.5,29,1239,371137.75
24 JUL 2024,297.25,305,292,300,66,6503,1944996.75
23 JUL 2024,284,299,284,287.75,8,203,58030.25
22 JUL 2024,289.25,290,281,284,82,8278,2352753.25
19 JUL 2024,295.25,295.25,286.5,290,43,3845,1114819.5
18 JUL 2024,296,296,295.25,296,16,562,166328.5
17 JUL 2024,298.75,298.75,295.75,296,16,797,236034.5
16 JUL 2024,296,298.75,295.25,296,3,502,148594
